id_obra,autor,titulo,recorrido_principal,recorrido_secundario,estado_recorrido,fuente_decision,evidencia,evidencia_textual,decision_explicita,conflicto_clasificacion,recorridos_en_conflicto,requiere_revision,en_corpus,observaciones
workercane,Sidney W. Mintz,Worker in the Cane: A Puerto Rican Life History,C4,C2,confirmado,a02-generado.json,La historia de vida de Don Taso organiza una lectura del trabajo cañero y la proletarización; la plantación azucarera es su arquitectura histórica secundaria.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
afrocentroam,Sarah England,Afro Central Americans in New York City: Garifuna Tales of Transnational Movements in Racialized Space,C5,C7|C10,confirmado,a02-generado.json,"La vida social y política garífuna se produce a través de la migración transnacional; ciudadanía, racialización y parentesco son dimensiones secundarias.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
bassiacuoso,Ernesto Bassi,Un territorio acuoso: geografías marineras y el Gran Caribe transimperial de la Nueva Granada,C5,C7,confirmado,piloto-generado.json,"La obra organiza su argumento alrededor de circulaciones marítimas, geografías vividas y un Gran Caribe transimperial.",sí,sí,no,,sí,sí,lote · decisión: confirmar; con pendientes declarados
gonzalezsojourners,Nancie L. González,Sojourners of the Caribbean,C5,C3,confirmado,dictamen-academico-bloque-1-etapa-2-3.md,C5 principal / C3 secundaria (C1 descartada),sí,sí,no,,no,sí,P1
harpellecostarica,Ronald N. Harpelle,"The West Indians of Costa Rica: Race, Class, and the Integration of an Ethnic Minority",C5,C4|C7,confirmado,a02-generado.json,La migración antillana y su asentamiento en Costa Rica estructuran el libro; trabajo bananero y fronteras nacionales son secundarios.,sí,sí,no,,no,sí,lote · decisión: corregir_corriente
islandscity,Nancy Foner (ed.),Islands in the City: West Indian Migration to New York,C5,C7|C10,confirmado,a02-generado.json,"El volumen compara migraciones caribeñas y formaciones transnacionales en Nueva York; ciudadanía, raza y parentesco son cruces secundarios.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
londonoargonauts,Wilhelm Londoño Díaz,The Argonauts of West Caribbean: Tradition of Canoes of Taganga,C5,C1|C4,confirmado,s01-generado.json,"La navegación, las canoas, los intercambios y la costa como red de puertos organizan el libro; la persistencia indígena y el despojo litoral funcionan como corrientes secundarias.",sí,sí,no,,sí,sí,lote · decisión: corregir_lengua_y_corriente; con pendientes declarados
mahlertricontinental,Anne Garland Mahler,"From the Tricontinental to the Global South: Race, Radicalism, and Transnational Solidarity",C5,C7|C8,confirmado,a02-generado.json,"La circulación de lenguajes, imágenes y solidaridad antiimperial desde la Tricontinental organiza el estudio; soberanía y traducción política son secundarias.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
putnamradical,Lara Putnam,Radical Moves: Caribbean Migrants and the Politics of Race in the Jazz Age,C5,C7,confirmado,a02-generado.json,Las movilidades caribeñas y la circulación de ideas políticas organizan el libro; soberanía y fronteras son consecuencias secundarias.,sí,sí,no,,no,sí,lote · decisión: corregir_corriente
shepherdmaharani,Verene A. Shepherd,Maharani's Misery: Narratives of a Passage from India to the Caribbean,C5,C4|C10,confirmado,a01-generado.json,La travesía y el traslado de trabajo contratado desde India al Caribe organizan el libro; explotación laboral y género son secundarios.,sí,sí,no,,no,sí,lote · decisión: corregir_corriente
beyondsun,Baver & Lynch (eds.),Beyond Sun and Sand,C6,C7,confirmado,a02-generado.json,Los ambientalismos caribeños organizan el volumen. Corregir a Beyond Sun and Sand: Caribbean Environmentalisms y registrar como editoras a Sherrie L. Baver y Barbara Deutsch Lynch.,sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura_y_corregir_bibliografia
goffedarklab,Tao Leigh Goffe,"Dark Laboratory: On Columbus, the Caribbean, and the Origins of the Climate Crisis",C6,C1|C2,confirmado,a02-generado.json,"La crisis climática caribeña se explica mediante historias coloniales, raciales y extractivas; invasión y plantación son genealogías secundarias.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
jaffeconcrete,Rivke Jaffe,Concrete Jungles,C6,,confirmado,dictamen-academico-bloque-4-etapa-2-3.md,"C6 principal, sin secundaria confirmada; C4 queda como hipótesis abierta",sí,sí,sí,C6|C4,sí,sí,P1
alabi,Richard Price,Alabi's World,C7,C3,confirmado,dictamen-academico-bloque-3-etapa-2-3.md,C7 principal / C3 secundaria,sí,sí,no,,no,sí,P1
esquiva,archivo,La esquiva promesa de desarrollo,C7,C4,confirmado,s01-generado.json,"La pregunta central es la eficacia territorial y política de la Ley 70 en el Caribe; turismo, desplazamiento y desigualdad quedan como dimensiones secundarias de desposesión.",sí,sí,no,,no,sí,lote · decisión: identificar_y_corregir
hintzen,Percy C. Hintzen,"The Costs of Regime Survival: Racial Mobilization, Elite Domination and Control of the State in Guyana and Trinidad",C7,C4,confirmado,a02-generado.json,"La supervivencia del régimen, el Estado y la movilización racial organizan el argumento; economía política y clase son secundarias.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
rainforestwarriors,Richard Price,Rainforest Warriors,C7,C3,confirmado,dictamen-academico-bloque-3-etapa-2-3.md,C7 principal / C3 secundaria,sí,sí,no,,no,sí,P1
schuller_killingkindness,Mark Schuller,"Killing with Kindness: Haiti, International Aid, and NGOs",C7,C4,confirmado,a02-generado.json,"El poder de ONG, donantes y Estado organiza la crítica del régimen de ayuda; desigualdad y desposesión son una dimensión secundaria.",sí,sí,no,,no,sí,lote · decisión: confirmar_candidatura
benedictykokken_haitiexception,"Alessandra Benedicty-Kokken, Kaiama L. Glover, Jhon Picard Byron y Mark Schuller (eds.)",The Haiti Exception: Anthropology and the Predicaments of Development,C8,C7|C9,confirmado,a02-generado.json,"La obra interroga cómo la narrativa antropológica produce la excepcionalidad haitiana: representación, traducción y opacidad son el principio ordenador. Corregir el título a The Haiti Exception: Anthr",sí,sí,no,,no,sí,lote · decisión: corregir_corriente_y_bibliografia
benitez,Antonio Benítez Rojo,La isla que se repite / The Repeating Island,C8,C4,confirmado,s01-generado.json,"La isla que se repite y The Repeating Island son la obra original y su traducción inglesa, no dos obras independientes.",sí,sí,no,,sí,sí,lote · decisión: corregir_sin_dividir; con pendientes declarados
brathwaite,Kamau Brathwaite,Nation Language / Tidalectics,C8,C9,confirmado,s01-generado.json,Nation language pertenece a History of the Voice; tidalectics no es una segunda obra de 1984 y queda pendiente de una ficha bibliográfica propia.,sí,sí,no,,sí,sí,lote · decisión: corregir_sin_dividir; con pendientes declarados
glissant,Édouard Glissant,Poétique de la Relation / Le discours antillais,C8,C7,confirmado,s01-generado.json,"Le Discours antillais y Poétique de la Relation son libros diferentes pero convergen en una arquitectura de antillanidad, relación, opacidad y crítica colonial.",sí,sí,no,,no,sí,lote · decisión: descomponer_en_componentes
monahan,Michael Monahan,"Creolizing Practices of Freedom: Recognition and Dissonance / The Creolizing Subject: Race, Reason, and the Politics of Purity",C8,,confirmado,s01-generado.json,El nodo reúne dos libros distintos que convergen en una filosofía creolizante; el identificador se conserva como contenedor para no romper relaciones citables.,sí,sí,no,,no,sí,lote · decisión: descomponer_en_componentes
ortiz,Fernando Ortiz,Contrapunteo cubano / Transculturación,C8,C4,confirmado,s01-generado.json,"La ficha heredada confundía la obra con el concepto que el libro elabora. Transculturación se registra como aporte conceptual, no como segundo título.",sí,sí,no,,no,sí,lote · decisión: corregir_sin_dividir
wynterblackmetamorphosis,Sylvia Wynter,Black Metamorphosis,C8,C4,confirmado,decision-academica-wynterblackmetamorphosis-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
brownreaper,Vincent Brown,The Reaper's Garden: Death and Power in the World of Atlantic Slavery,C9,C2,confirmado,a02-generado.json,"La muerte, los rituales mortuorios y la política espiritual organizan el argumento; esclavización y plantación constituyen la arquitectura secundaria.",sí,sí,no,,no,sí,lote · decisión: corregir_corriente
chande,borrador / archivo,Sonoridades del Chandé en el Caribe seco,C9,C8,confirmado,piloto-generado.json,"El texto comprende el Chandé como pensamiento, saber y memoria mediante diálogo comunitario y respeto por el silencio de sabedoras y sabedores.",sí,sí,no,,sí,sí,lote · decisión: confirmar_con_correccion; con pendientes declarados
chevannes,Barry Chevannes,Rastafari: Roots and Ideology,C9,,confirmado,dictamen-academico-bloque-2-etapa-2-3.md,"C9 principal, sin C3 secundaria",sí,sí,no,,no,sí,P1
cosgrovegarifuna,"Cosgrove, Idiáquez, Bent y Gorvetzian",Surviving the Americas,C9,C5|C1,confirmado,decision-academica-cosgrovegarifuna-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
fuentesdispossessed,Marisa J. Fuentes,"Dispossessed Lives: Enslaved Women, Violence, and the Archive",C9,C2|C10,confirmado,a01-generado.json,La crítica de la forma y violencia del archivo organiza la producción de conocimiento; esclavización y cuerpos de mujeres son campos sustantivos secundarios.,sí,sí,no,,no,sí,lote · decisión: corregir_corriente
gomezexperiential,Pablo F. Gómez,The Experiential Caribbean,C9,C5,confirmado,decision-academica-gomezexperiential-cierre-p1-etapa-2-3.md,C9 principal / C5 secundaria,sí,sí,no,,no,sí,P1
manoalzada,archivo,A mano alzada: diáspora intelectual afrocolombiana,C9,C5,confirmado,s01-generado.json,La obra se presenta como memoria escrita de una tradición intelectual afrodiaspórica; la diáspora organiza su circulación y queda como corriente secundaria.,sí,sí,no,,no,sí,lote · decisión: identificar_y_corregir
pricemars,Jean Price-Mars,Ainsi parla l'oncle,C9,C8,confirmado,decision-academica-pricemars-p2-etapa-2-3f.md,decisión de Dirección Académica con lectura documentada,sí,sí,no,,no,sí,P2
travelstooy,Richard Price,Travels with Tooy,C9,,confirmado,dictamen-academico-bloque-2-etapa-2-3.md,"C9 principal, sin C3 secundaria",sí,sí,no,,no,sí,P1
perezmorales,Edgardo Pérez Morales,No Limits to Their Sway,,,confirmado,dictamen-academico-bloque-4-etapa-2-3.md,"síntesis multicorriente: C3, C5 y C7 estructurantes, sin principal",sí,sí,sí,C3|C5|C7,sí,sí,P1 · SINTESIS_MULTICORRIENTE C3/C5/C7
pinedashipwrecked,Baron L. Pineda,Shipwrecked Identities,,,confirmado,decision-academica-pinedashipwrecked-p2-etapa-2-3f.md,SINTESIS_MULTICORRIENTE C1/C4/C7,sí,sí,sí,C1|C4|C7,sí,sí,P2 · SINTESIS_MULTICORRIENTE C1/C4/C7
pricefirst,Richard Price,First-Time,,,confirmado,dictamen-academico-bloque-2-etapa-2-3.md,frontera constitutiva C3/C9: sin principal ni secundaria,sí,sí,sí,C3|C9,sí,sí,P1 · FRONTERA_CONSTITUTIVA C3/C9
rifkinfictions,Mark Rifkin,Fictions of Land and Flesh,,,confirmado,dictamen-academico-bloque-1-etapa-2-3.md,frontera constitutiva C1/C3: sin principal ni secundaria,sí,sí,sí,C1|C3,sí,sí,P1 · FRONTERA_CONSTITUTIVA C1/C3
schwartz_seaofstorms,Stuart B. Schwartz,Sea of Storms,,C2|C4,confirmado,decision-academica-schwartz_seaofstorms-p2-etapa-2-3f.md,FRONTERA_CONSTITUTIVA C6/C7,sí,sí,sí,C6|C7,sí,sí,P2 · FRONTERA_CONSTITUTIVA C6/C7
whiteheadtiger,Neil L. Whitehead,Lords of the Tiger Spirit,,,confirmado,decision-academica-whiteheadtiger-p2-etapa-2-3f.md,FRONTERA_CONSTITUTIVA C1/C7,sí,sí,sí,C1|C7,sí,sí,P2 · FRONTERA_CONSTITUTIVA C1/C7
abello,Alberto Abello Vives,La isla encallada: el Caribe colombiano en el archipiélago,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
aftershocks,Bonilla & LeBrón (eds.),Aftershocks of Disaster (huracán María),,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
allen_dikimanera,Rose Mary Allen,"Di ki manera? A Social History of Afro-Curaçaoans, 1863-1917",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
araujo,Ana Lucia Araujo,Reparations for Slavery and the Slave Trade: A Transnational and Comparative History,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
archipelagicthinking,Michelle Stephens y Yolanda Martínez-San Miguel (eds.),Contemporary Archipelagic Thinking: Towards New Comparative Methodologies and Disciplinary Formations,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
austinfearblack,David Austin,"Fear of a Black Nation: Race, Sex, and Security in Sixties Montreal",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
bahadurcoolie,Gaiutra Bahadur,Coolie Woman: The Odyssey of Indenture,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
becklessavingsouls,Hilary McD. Beckles y Verene A. Shepherd (eds.),Saving Souls: The Struggle to End the Transatlantic Trade in Africans,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
besson,Jean Besson,Martha Brae's Two Histories,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
bollandbelize,O. Nigel Bolland,"The Formation of a Colonial Society: Belize, From Conquest to Crown Colony",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
branddoor,Dionne Brand,A Map to the Door of No Return: Notes to Belonging,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
brereton_racerelationstrinidad,Bridget Brereton,"Race Relations in Colonial Trinidad, 1870-1900",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
callaloonation,Aisha Khan,Callaloo Nation: Metaphors of Race and Religious Identity among South Asians in Trinidad,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
caribjourneys,Karen Fog Olwig,Caribbean Journeys: An Ethnography of Migration and Home in Three Family Networks,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
casimir,Jean Casimir,The Haitians: A Decolonial History,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
castorspiritual,N. Fadeke Castor,Spiritual Citizenship: Transnational Pathways from Black Power to Ifá in Trinidad,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
castrogomezhybris,Santiago Castro-Gómez,"La hybris del punto cero: ciencia, raza e ilustración en la Nueva Granada (1750-1816)",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
crawfordturtlemen,Sharika D. Crawford,"The Last Turtlemen of the Caribbean: Waterscapes of Labor, Conservation, and Boundary Making",,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
cuijla,Gonzalo Aguirre Beltrán,Cuijla: Esbozo etnográfico de un pueblo negro,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
deere,Don Thomas Deere,The Invention of Order: On the Coloniality of Space,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
deloughrey,Elizabeth M. DeLoughrey,Allegories of the Anthropocene,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
duboisturits,Laurent Dubois y Richard Lee Turits,Freedom Roots: Histories from the Caribbean,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
dubuissonhaiti,Darlène Elizabeth Dubuisson,Reclaiming Haiti's Futures,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
escalante,Aquiles Escalante,El Palenque de San Basilio,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
ferdinand,Malcom Ferdinand,Une écologie décoloniale,,,pendiente,,,no,no,no,,no,sí,"figura en la cola de lectura de Atlas 2.0, sin abrir"
